S.No.,Book Title,Author,Edition,OpenURL
365,"ENZYMES: Catalysis, Kinetics and Mechanisms",N.S. Punekar,"1st ed.
2018",http://link.springer.com/openurl?genre=book&isbn=978-981-13-0785-0
366,Automatic Control with Experiments,"Victor Manuel Hernández-Guzmán,
Ramón Silva-Ortigoza","1st ed.
2019",http://link.springer.com/openurl?genre=book&isbn=978-3-319-75804-6
367,Internet of Things From Hype to Reality,"Ammar Rayes, Samer Salam","2nd ed.
2019",http://link.springer.com/openurl?genre=book&isbn=978-3-319-99516-8
368,Quantitative Methods for the Social Sciences,Daniel Stockemer,"1st ed.
2019",http://link.springer.com/openurl?genre=book&isbn=978-3-319-99118-4
369,A Pythagorean Introduction to Number Theory,Ramin Takloo-Bighash,"1st ed.
2018",http://link.springer.com/openurl?genre=book&isbn=978-3-030-02604-2
370,Philosophical and Mathematical Logic,Harrie de Swart,"1st ed.
2018",http://link.springer.com/openurl?genre=book&isbn=978-3-030-03255-5
371,Structural Dynamics,"Mario Paz, Young Hoon Kim","6th ed.
2019",http://link.springer.com/openurl?genre=book&isbn=978-3-319-94743-3
372,"Plant Physiology, Development and Metabolism","Satish C Bhatla, Manju A. Lal","1st ed.
2018",http://link.springer.com/openurl?genre=book&isbn=978-981-13-2023-1
373,Quantum Mechanics for Pedestrians 1,Jochen Pade,"2nd ed.
2018",http://link.springer.com/openurl?genre=book&isbn=978-3-030-00464-4
374,Plant Anatomy,"Richard Crang, Sheila Lyons-Sobaski,
Robert Wise","1st ed.
2018",http://link.springer.com/openurl?genre=book&isbn=978-3-319-77315-5
375,Quantum Mechanics for Pedestrians 2,Jochen Pade,"2nd ed.
2018",http://link.springer.com/openurl?genre=book&isbn=978-3-030-00467-5
376,Excel Data Analysis,Hector Guerrero,"2nd ed.
2019",http://link.springer.com/openurl?genre=book&isbn=978-3-030-01279-3
377,Quick Start Guide to VHDL,Brock J. LaMeres,"1st ed.
2019",http://link.springer.com/openurl?genre=book&isbn=978-3-030-04516-6
378,Java in Two Semesters,"Quentin Charatan, Aaron Kans","4th ed.
2019",http://link.springer.com/openurl?genre=book&isbn=978-3-319-99420-8
379,Managing Media and Digital Organizations,Eli M. Noam,"1st ed.
2019",http://link.springer.com/openurl?genre=book&isbn=978-3-319-71288-8
380,Media and Digital Management,Eli M. Noam,"1st ed.
2019",http://link.springer.com/openurl?genre=book&isbn=978-3-319-72000-5
381,"An Anthology of London in Literature, 1558-1914","Geoffrey G. Hiller, Peter L. Groves,
Alan F. Dilnot","1st ed.
2019",http://link.springer.com/openurl?genre=book&isbn=978-3-030-05609-4
382,Astronautics,Ulrich Walter,"3rd ed.
2018",http://link.springer.com/openurl?genre=book&isbn=978-3-319-74373-8
383,Perceptual Organization,Stephen Handel,"1st ed.
2019",http://link.springer.com/openurl?genre=book&isbn=978-3-319-96337-2
384,Research Methods for Social Justice and Equity in Education,"Kamden K. Strunk, Leslie Ann Locke","1st ed.
2019",http://link.springer.com/openurl?genre=book&isbn=978-3-030-05900-2
385,Educational Technology,"Ronghuai Huang, J. Michael Spector,
Junfeng Yang","1st ed.
2019",http://link.springer.com/openurl?genre=book&isbn=978-981-13-6643-7
386,Quick Start Guide to Verilog,Brock J. LaMeres,"1st ed.
2019",http://link.springer.com/openurl?genre=book&isbn=978-3-030-10552-5
387,Spine Surgery,"Bernhard Meyer, Michael
Rauschmann","1st ed.
2019",http://link.springer.com/openurl?genre=book&isbn=978-3-319-98875-7
388,Introduction to Logic Circuits & Logic Design with VHDL,Brock J. LaMeres,"2nd ed.
2019",http://link.springer.com/openurl?genre=book&isbn=978-3-030-12489-2
389,Social Justice Theory and Practice for Social Work,"Lynelle Watts, David Hodgson","1st ed.
2019",http://link.springer.com/openurl?genre=book&isbn=978-981-13-3621-8
390,School Leadership and Educational Change in Singapore,"Benjamin Wong, Salleh Hairon, Pak
Tee Ng","1st ed.
2019",http://link.springer.com/openurl?genre=book&isbn=978-3-319-74746-0
391,Digital Business Models,Bernd W. Wirtz,"1st ed.
2019",http://link.springer.com/openurl?genre=book&isbn=978-3-030-13005-3
392,Introduction to Logic Circuits & Logic Design with Verilog,Brock J. LaMeres,"2nd ed.
2019",http://link.springer.com/openurl?genre=book&isbn=978-3-030-13605-5
393,Pharmaceutical Biotechnology,"Daan J. A. Crommelin, Robert D.
Sindelar, Bernd Meibohm","5th ed.
2019",http://link.springer.com/openurl?genre=book&isbn=978-3-030-00710-2
394,Mapping Global Theatre Histories,Mark Pizzato,"1st ed.
2019",http://link.springer.com/openurl?genre=book&isbn=978-3-030-12727-5
395,Social Marketing in Action,"Debra Z. Basil, Gonzalo Diaz-Meneses,
Michael D. Basil","1st ed.
2019",http://link.springer.com/openurl?genre=book&isbn=978-3-030-13020-6
396,Analyzing Qualitative Data with MAXQDA,"Udo Kuckartz, Stefan Rädiker","1st ed.
2019",http://link.springer.com/openurl?genre=book&isbn=978-3-030-15671-8
397,Handbook of Evolutionary Research in Archaeology,Anna Marie Prentiss,"1st ed.
2019",http://link.springer.com/openurl?genre=book&isbn=978-3-030-11117-5
398,Evidence-Based Practice in Clinical Social Work,"James W. Drisko, Melissa D. Grady","2nd ed.
2019",http://link.springer.com/openurl?genre=book&isbn=978-3-030-15224-6
399, Foundations of Behavioral Health,"Bruce Lubotsky Levin, Ardis Hanson"," 1st ed.
2020", http://link.springer.com/openurl?genre=book&isbn=978-3-030-18435-3
400, Social Psychology in Action,"Kai Sassenberg, Michael L.W. Vliek"," 1st ed.
2019", http://link.springer.com/openurl?genre=book&isbn=978-3-030-13788-5
401, Essentials of Business Analytics,"Bhimasankaram Pochiraju, Sridhar Seshadri"," 1st ed.
2019", http://link.springer.com/openurl?genre=book&isbn=978-3-319-68837-4
402, A Course in Rasch Measurement Theory,"David Andrich, Ida Marais"," 1st ed.
2019", http://link.springer.com/openurl?genre=book&isbn=978-981-13-7496-8
403, Multimedia Big Data Computing for IoT Applications,"Sudeep Tanwar, Sudhanshu Tyagi, Neeraj Kumar"," 1st ed.
2020", http://link.springer.com/openurl?genre=book&isbn=978-981-13-8759-3
404, Policing and Minority Communities,"James F. Albrecht, Garth den Heyer, Perry Stanislas"," 1st ed.
2019", http://link.springer.com/openurl?genre=book&isbn=978-3-030-19182-5
405, A Beginners Guide to Python 3 Programming,John Hunt," 1st ed.
2019", http://link.springer.com/openurl?genre=book&isbn=978-3-030-20290-3
406, Advanced Guide to Python 3 Programming,John Hunt," 1st ed.
2019", http://link.springer.com/openurl?genre=book&isbn=978-3-030-25943-3
407, Literature and Medicine,"Ronald Schleifer, Jerry B. Vannatta"," 1st ed.
2019", http://link.springer.com/openurl?genre=book&isbn=978-3-030-19128-3
408, Food Fraud Prevention,John W. Spink," 1st ed.
2019", http://link.springer.com/openurl?genre=book&isbn=978-1-4939-9621-6
